K,C,Y,X,R,S,T,SX,SY,Precision
24,3,128,128,3,3,1,2,2,4
48,24,64,64,3,3,1,1,1,4
32,48,64,64,1,1,1,1,1,4
32,32,64,64,3,3,1,1,1,4
168,32,64,64,1,1,1,1,1,4
168,48,64,64,1,1,1,1,1,4
40,168,64,64,1,1,1,1,1,4
40,40,64,64,3,3,1,1,1,4
168,40,64,64,1,1,1,1,1,4
80,168,64,64,1,1,1,1,1,4
80,80,64,64,3,3,1,2,2,4
408,80,32,32,1,1,1,1,1,4
408,168,32,32,1,1,1,1,1,4
104,408,32,32,1,1,1,1,1,4
104,104,32,32,3,3,1,1,1,4
408,104,32,32,1,1,1,1,1,4
80,408,32,32,1,1,1,1,1,4
80,80,32,32,3,3,1,1,1,4
408,80,32,32,1,1,1,1,1,4
208,408,32,32,1,1,1,1,1,4
208,208,32,32,3,3,1,2,2,4
816,208,16,16,1,1,1,1,1,4
816,408,16,16,1,1,1,1,1,4
208,816,16,16,1,1,1,1,1,4
208,208,16,16,3,3,1,1,1,4
816,208,16,16,1,1,1,1,1,4
160,816,16,16,1,1,1,1,1,4
160,160,16,16,3,3,1,1,1,4
816,160,16,16,1,1,1,1,1,4
208,816,16,16,1,1,1,1,1,4
208,208,16,16,3,3,1,1,1,4
816,208,16,16,1,1,1,1,1,4
408,816,16,16,1,1,1,1,1,4
408,408,16,16,3,3,1,2,2,4
1640,408,8,8,1,1,1,1,1,4
1640,816,8,8,1,1,1,1,1,4
408,1640,8,8,1,1,1,1,1,4
408,408,8,8,3,3,1,1,1,4
1640,408,8,8,1,1,1,1,1,4
